title,original_title,summary,url_thumbnail
L'Armée des Ombres,L'Armée des Ombres,"France 1942. Gerbier, ingénieur des Ponts et Chaussées est également l'un des chefs de la Résistance. Dénoncé et capturé, il est incarcéré dans un camp de prisonniers. Alors qu'il ",https://fr.web.img4.acsta.net/c_310_420/img/23/c1/23c1acd5c06be11bc9a64f448dae49f4.jpg
Easy Rider,Easy Rider,"Billy et Captain America disposent d'une grosse somme d'argent, résultat d'une importante vente de stupéfiants. Cette petite fortune permet aux deux motards d'envisager sereinement",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/60/06/04/19106072.jpg
Un homme qui me plaît,Un homme qui me plaît,"Au cours d'un tournage à Los Angeles, une actrice, Françoise, et un compositeur, Henri, tombent amoureux l'un de l'autre.",https://fr.web.img3.acsta.net/c_310_420/pictures/23/01/10/16/45/2561549.jpg
Z,Z,"Un député progressiste est assassiné dans un pays méditerranéen. Le juge d'instruction s'occupant de l'enquête met en évidence, dans ce crime, la participation de l'armée et de la ",https://fr.web.img6.acsta.net/c_310_420/pictures/15/05/18/14/41/253616.jpg
Butch Cassidy et le Kid,Butch Cassidy and the Sundance Kid,"Au début du XXe siècle, Butch Cassidy et son ami Sundance Kid pillent les trains et les banques. Les deux malfrats élaborent un plan ingénieux qui leur permet de dévaliser deux foi",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/65/42/30/19648806.jpg
Macadam Cowboy,Midnight Cowboy,"Joe Buck, blond et beau gosse, quitte sa petite bourgade du Texas pour monter à New York, où il espère se faire entretenir par des femmes riches. Mais la dureté de la ville lui fai",https://fr.web.img6.acsta.net/c_310_420/pictures/16/08/03/14/48/441582.jpg
La Piscine,La Piscine,"Jean-Paul et Marianne forment un couple idéal et coulent des jours heureux dans leur villa de Saint-Tropez, jusqu'au jour où arrive Harry, au bras de sa fille l'incendiaire Pénélop",https://fr.web.img3.acsta.net/c_310_420/pictures/19/09/24/11/50/3988724.jpg
Que la bête meure,Que la bête meure,"Pour venger la mort de son fils, tué par un chauffard, un homme se lance sur la piste du coupable. Il parvient bientôt à retrouver sa trace et devient un intime de sa famille. L'ho",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/60/08/50/18608144.jpg
Le Clan des Siciliens,Le Clan des Siciliens,"Vittorio Malanese, chef du clan des Siciliens, organise l'évasion du truand Roger Sartet pour l'aider à réaliser un audacieux hold-up.",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/65/23/78/19148457.jpg
Kes,Kes,"Billy Casper vit dans une petite ville minière du nord-est de l'Angleterre, à Barnsley, dans le Yorkshire. Il a une douzaine d'annéeset l'univers dans lequel il vit ne correspond p",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/70/56/26/19103370.jpg
Hibernatus,Hibernatus,"Après 65 ans d'hibernation naturelle dans un bloc de glace polaire, un naufragé est retrouvé par une expédition au Groenland. Cette découverte perturbe grandement Hubert de Tartas,",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/70/93/12/19117357.jpg
La Horde sauvage,The Wild Bunch,"En 1914, Pike Bishop et sa bande entrent dans San Rafael, une petite ville du Texas, déguisés en cavaliers de l'US Cavalry. Ensemble, ils se dirigent vers la gare pour y dérober la",https://fr.web.img4.acsta.net/c_310_420/pictures/15/09/16/09/13/593673.jpg
On achève bien les chevaux,"They Shoot Horses, Don't They?","En pleine dépression économique, les primes des marathons de danse attirent jeunes et vieux accablés par la misère. Robert et sa partenaire Gloria dansent à en perdre la raison. Il",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/08/34/19478533.jpg
Les Damnés,La caduta degli dei,"Les réactions et comportements des membres d'une puissante famille, marchands de canons de la Ruhr, face à l'avenement du nazisme.",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/72/23/90/19157348.jpg
L'Or se barre,The Italian Job,Des gangsters anglais qui veulent voler l'or de Fiat s'opposent à la Mafia qui veut défendre l'honneur de l'Italie.,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/00/02/50/91/or.jpg
More,More,"En quête d’aventures et de lui-même, Stefan, un jeune étudiant allemand, en route vers le Soleil, fait de l’auto-stop jusqu’à Paris. Il rencontre une jeune Américaine oisive, Estel",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/35/47/68/18886073.jpg
Au service secret de sa Majesté,On Her Majesty's Secret Service,L'agent secret James Bond est appelé à la rescousse pour mettre un terme aux malversations de Blofeld. Ce dernier tente de mettre au point un virus qui mettrait un terme à toute vi,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/63/70/82/18991380.jpg
L'Enfant sauvage,L'Enfant sauvage,"Après avoir été capturé par des paysans, un enfant sauvage est amené au docteur Itard, à Paris. La plupart du monde scientifique le considère comme un attardé, mais le docteur Itar",https://fr.web.img6.acsta.net/c_310_420/pictures/22/08/01/14/28/4730028.jpg
Ma nuit chez Maud,Ma nuit chez Maud,"Un ingenieur goûtant le calme d'une ville de province éprouve une très grande attirance pour une jeune femme indépendante. Dans la série des ""Six contes moraux"", troisième histoire",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/35/47/09/20483680.jpg
Médée,Medea,"Médée la magicienne, fille du roi de Colchide, voit arriver sur sa terre le prince Jason venu enlever la Toison d’Or, l’idole de son peuple. Tombée folle amoureuse du jeune Grec, e",https://fr.web.img5.acsta.net/c_310_420/pictures/22/07/05/14/07/4725227.jpg
L'Arbre de Noël,L’arbre de Noël,"Comme chaque année, depuis qu'il a perdu sa mère, Pascal revient à Paris pour passer les vacances avec son père Laurent. Ils partent en Corse, et au cours d'une promenade en mer, u",https://fr.web.img6.acsta.net/c_310_420/commons/v9/common/empty/empty_portrait.png
La Sirène du Mississipi,La Sirène du Mississipi,"Un industriel réunionnais, Louis Mahé, décide de se marier par petites annonces. Il rencontre Julie, une superbe femme, différente de la photo qu’il a reçue. Mais après le mariage,",https://fr.web.img3.acsta.net/c_310_420/pictures/22/08/01/14/28/4744068.jpg
La femme infidèle,La femme infidèle,"Lorsqu'il apprend que sa femme le trompe, Charles décide de tuer son amant.",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/62/84/52/18655218.jpg
"Hello, Dolly!","Hello, Dolly!","L'adaptation d'une comédie musicale créée à Broadway. Dolly Levi, une marieuse professionnelle, tombe amoureuse d'un riche marchand, et tisse un réseau complexe de liens amoureux p",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/22/54/18463430.jpg
Le Diable par la queue,Le Diable par la queue,"Une famille d'aristocrates désargentés a transformé son château en hôtel. Malgré la bonne volonté de chacun, l’isolement du manoir ne s’avère guère propice aux affaires. Pour reméd",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/73/59/66/19208775.jpg
Satyricon,Fellini - Satyricon,"Dans la Rome antique, Encolpe et Ascylte, deux étudiants qui cohabitent dans le quartier souterrain de Subure où ils vivent de rapines, se disputent les faveurs de leur jeune escla",https://fr.web.img5.acsta.net/c_310_420/pictures/19/08/01/12/09/0637556.jpg
