title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
Un parfait inconnu,A Complete Unknown,29 janvier 2025,2h 20min,"Biopic,Drame,Musical",U.S.A.,"4,1",2978,358,James Mangold,"Timothée Chalamet,Edward Norton,Elle Fanning,Monica Barbaro,Boyd Holbrook,Dan Fogler,Norbert Leo Butz,Scoot McNairy,P.J. Byrne,Charlie Tahan,Eli Brown,Nick Pupo,Eric Berryman,David Alan Basche,Joe Tippett,James Austin Johnson,Eriko Hatsune,Arthur Langlie,Michael Chernus,Kayli Carter",,"New York, 1961. Alors que la scène musicale est en pleine effervescence et que la société est en proie à des bouleversements culturels, un énigmatique jeune homme de 19 ans débarqu",https://fr.web.img6.acsta.net/c_310_420/img/7b/09/7b09c04859a7716e5fc78882f2f4b530.jpg,https://www.allocine.fr/film/fichefilm-280195/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-280195/similaire/
Better Man,Better Man,22 janvier 2025,2h 16min,"Biopic,Musical",Grande-Bretagne,"4,2",1881,310,Michael Gracey,"Robbie Williams,Jonno Davies,Steve Pemberton,Damon Herriman,Raechelle Banno,Alison Steadman,Kate Mulvany,Frazer Hadfield,Tom Budge,Anthony Hayes,Karina Banno,Ben Hall,John Waters (II)",Batu Sener,"L'ascension du célèbre chanteur/compositeur britannique Robbie Williams. Devenu une star avec le Boy Band, Take That, dans les années 1990, ce dernier a peu à peu plongé dans les p",https://fr.web.img6.acsta.net/c_310_420/img/3d/6e/3d6eacd79d69e4c7f36fc2d6e2af2203.jpg,https://www.allocine.fr/film/fichefilm-290583/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-290583/similaire/
Je suis toujours là,Ainda Estou Aqui,15 janvier 2025,2h 15min,"Drame,Thriller","Brésil,France","4,2",2211,207,Walter Salles,"Fernanda Torres,Fernanda Montenegro,Selton Mello,Valentina Herszage,Maria Manoella,Luiza Kosovski,Marjorie Estiano,Bárbara Luz,Olívia Torres,Antonio Saboia,Dan Stulbach,Thelmo Fernandes,Humberto Carrão,Maeve Jinkings,Carla Ribas,Camila Márdila,Daniel Dantas,Charles Fricks,Helena Albergaria,Marcelo Varzea,Caio Horowicz,Maitê Padilha,Luiz Bertazzo,Lourinelson Vladmir",Warren Ellis,"Rio, 1971, sous la dictature militaire. La grande maison des Paiva, près de la plage, est un havre de vie, de paroles partagées, de jeux, de rencontres. Jusqu’au jour où des hommes",https://fr.web.img6.acsta.net/c_310_420/img/f1/a8/f1a878b912b2e9a130fc3263e521b0a2.jpg,https://www.allocine.fr/film/fichefilm-265940/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-265940/similaire/
Jouer avec le feu,Jouer avec le feu,22 janvier 2025,1h 58min,Drame,"France,Belgique","3,5",1847,285,"Delphine Coulin,Muriel Coulin","Vincent Lindon,Benjamin Voisin,Stefan Crepon,Maëlle Poesy,Béatrice Pérez,Sophie Guillemin,Édouard Sulpice,Arnaud Rebotini,Hugo Bariller,Thomas Arnaud",Pawel Mykietyn,"Pierre élève seul ses deux fils. Louis, le cadet, réussit ses études et avance facilement dans la vie. Fus, l’aîné, part à la dérive. Fasciné par la violence et les rapports de for",https://fr.web.img6.acsta.net/c_310_420/img/02/c2/02c28607beda37fdf319f91f48c08e71.jpg,https://www.allocine.fr/film/fichefilm-313778/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-313778/similaire/
Un ours dans le jura,Un ours dans le jura,1 janvier 2025,1h 53min,"Comédie,Thriller",France,"3,8",4677,965,Franck Dubosc,"Franck Dubosc,Laure Calamy,Benoît Poelvoorde,Joséphine de Meaux,Kim Higelin,Mehdi Meskar,Timéo Mahaut,Emmanuelle Devos,Louka Meliava,Jean-Louis Loca,Christophe Canard,Anne Le Ny,Boris Sirven",Sylvain Goldberg,"Michel et Cathy, un couple usé par le temps et les difficultés financières, ne se parle plus vraiment. Jusqu’au jour où Michel, pour éviter un ours sur la route, heurte une voiture",https://fr.web.img5.acsta.net/c_310_420/img/17/5f/175fbcee8f625ac212b06378b2d34435.jpg,https://www.allocine.fr/film/fichefilm-323570/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-323570/similaire/
Babygirl,Babygirl,15 janvier 2025,1h 54min,"Erotique,Thriller",U.S.A.,"2,4",1848,280,Halina Reijn,"Nicole Kidman,Harris Dickinson,Antonio Banderas,Sophie Wilde,Esther-Rose McGregor,Vaughan Reilly,Izabel Mar,John Cenatiempo,Leslie Silva,Anoop Desai,Victor Slezak,Maxwell Whittington-Cooper",Cristobal Tapia de Veer,"Romy, PDG d’une grande entreprise, a tout pour être heureuse : un mari aimant, deux filles épanouies et une carrière réussie. Mais un jour, elle rencontre un jeune stagiaire dans l",https://fr.web.img6.acsta.net/c_310_420/img/0f/3f/0f3f8ece7cfe8d3a8524359c6261475c.jpg,https://www.allocine.fr/film/fichefilm-323928/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-323928/similaire/
La Chambre d’à côté,The Room Next Door,8 janvier 2025,1h 47min,"Comédie,Comédie dramatique,Drame","Espagne,U.S.A.","3,8",3363,426,Pedro Almodóvar,"Tilda Swinton,Julianne Moore,John Turturro,Alessandro Nivola,Juan Diego Botto,Raúl Arévalo,Victoria Luengo,Alex Høgh Andersen,Esther-Rose McGregor,Melina Matthews,Anh Duong,Bobbi Salvor Menuez,Cristina Kovani",Alberto Iglesias,"Ingrid et Martha, amies de longue date, ont débuté leur carrière au sein du même magazine. Lorsqu’Ingrid devient romancière à succès et Martha, reporter de guerre, leurs chemins se",https://fr.web.img4.acsta.net/c_310_420/img/9d/53/9d53ba520423b0b6dc500e615cf8d09e.jpg,https://www.allocine.fr/film/fichefilm-326074/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-326074/similaire/
En fanfare,En fanfare,27 novembre 2024,1h 44min,"Comédie,Comédie dramatique,Drame",France,"4,3",7979,1363,Emmanuel Courcol,"Benjamin Lavernhe,Pierre Lottin,Sarah Suco,Jacques Bonnaffé,Clémence Massart,Anne Loiret,Mathilde Courcol-Rozès,Yvon Martin,Charlie Nelson,Marie-Josée Billet,Johnny Rasse,Ludmila Mikaël,Nathalie Desrumaux",Michel Petrossian,"Thibaut est un chef d’orchestre de renommée internationale qui parcourt le monde. Lorsqu’il apprend qu’il a été adopté, il découvre l’existence d’un frère, Jimmy, employé de",https://fr.web.img6.acsta.net/c_310_420/img/64/74/647422e028e4ec2074828047f69efa08.jpg,https://www.allocine.fr/film/fichefilm-314009/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-314009/similaire/
The Brutalist,The Brutalist,12 février 2025,3h 34min,Drame,"Grande-Bretagne,U.S.A.,Hongrie","4,1",673,123,Brady Corbet,"Adrien Brody,Felicity Jones,Guy Pearce,Joe Alwyn,Raffey Cassidy,Stacy Martin,Emma Laird,Isaach de Bankolé,Alessandro Nivola,Ariane Labed,Jonathan Hyde,Peter Polycarpou,Levente Orban,Benett Vilmányi,Jaymes Butler,Matt Devere,Peter Linka",Daniel Blumberg,"Fuyant l’Europe d’après-guerre, l’architecte visionnaire László Tóth arrive en Amérique pour y reconstruire sa vie, sa carrière et le couple qu’il formait avec sa femme Erzsébet, q",https://fr.web.img5.acsta.net/c_310_420/img/22/ab/22ab82f07f1f92122491ae6c19210277.jpg,https://www.allocine.fr/film/fichefilm-269838/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-269838/similaire/
Companion,Companion,29 janvier 2025,1h 37min,"Epouvante-horreur,Romance,Science Fiction,Thriller",U.S.A.,"3,6",1103,149,Drew Hancock,"Sophie Thatcher,Jack Quaid,Lukas Gage,Rupert Friend,Megan Suri,Harvey Guillen,Marc Menchaca,Woody Fu,Jaboukie Young-White",Hrishikesh Hirway,"Josh et Iris semblent incarner le couple parfait. Mais lors d’un week-end entre amis qui vire au drame, un secret bien gardé fait tout basculer…",https://fr.web.img3.acsta.net/c_310_420/img/4f/fe/4ffee73796c73bcc7b7f695ef6a18f61.jpg,https://www.allocine.fr/film/fichefilm-313075/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-313075/similaire/
