title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
L’Attachement,L’Attachement,19 février 2025,1h 45min,Drame,"France,Belgique","4,2",2189,290,Carine Tardieu,"Valeria Bruni Tedeschi,Pio Marmaï,Vimala Pons,Raphaël Quenard,César Botti,Catherine Mouchet,Marie-Christine Barrault,Mélissa Barbaud,Florence Muller,Eric Verdin,Lise Gervais,Laurence Huby,Sissi Duparc",,"Sandra, quinquagénaire farouchement indépendante, partage soudainement et malgré elle l’intimité de son voisin de palier et de ses deux enfants. Contre toute attente, elle s’attach",https://fr.web.img3.acsta.net/c_310_420/img/83/a4/83a423a22c4438f3ecae29e227b2f6a9.jpg,https://www.allocine.fr/film/fichefilm-313781/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-313781/similaire/
Dis-moi juste que tu m'aimes,Dis-moi juste que tu m'aimes,19 février 2025,1h 51min,Drame,France,"3,0",833,139,Anne Le Ny,"Omar Sy,Élodie Bouchez,Vanessa Paradis,José Garcia,Sophie Ricci,Erwan Maillot,Jennifer Decker,Marie Ayissi,Catherine Vinatier,Eric Verdin,Louise Morin",Benjamin Esdraffo,"Au bout de quinze ans de mariage, une crise met à l’épreuve l’union de Julien et Marie. Dans le couple, cette dernière a toujours été celle qui aimait le plus, aussi, au moment où ",https://fr.web.img5.acsta.net/c_310_420/img/42/cd/42cdd3681d50bd26b297b68445a68dfc.jpg,https://www.allocine.fr/film/fichefilm-321257/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-321257/similaire/
Mercato,Mercato,19 février 2025,1h 59min,"Comédie dramatique,Thriller",France,"2,6",1011,221,Tristan Séguéla,"Jamel Debbouze,Monia Chokri,Hakim Jemili,Milo Machado-Graner,Vincent Rottiers,Stéphane Bak,Birane Ba,Wilhem Juillerat,Marie Papillon,Izm,Naama Preis,Aaliyah Lexilus,Ary Gabison",Amine Bouhafa,"Mercato nous plonge dans les coulisses du football d’aujourd’hui, industrie planétaire où les intérêts se chiffrent en milliards. Driss, agent de joueurs, a sept jours pour sauver ",https://fr.web.img3.acsta.net/c_310_420/img/6d/d2/6dd27c0509edb48b13cc65d51915a1fe.jpg,https://www.allocine.fr/film/fichefilm-325648/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-325648/similaire/
The Monkey,The Monkey,19 février 2025,1h 38min,"Comédie,Epouvante-horreur",U.S.A.,"2,4",766,139,Osgood Perkins,"Theo James,Elijah Wood,Tatiana Maslany,Christian Convery,Colin O'Brien,Rohan Campbell,Sarah Levy,Osgood Perkins,Laura Mennell,Janet Kidder",Edo Van Breemen,"Lorsque Bill et Hal, des jumeaux, trouvent dans le grenier un vieux jouet ayant appartenu à leur père, une série de morts atroces commence à se produire autour d'eux...",https://fr.web.img3.acsta.net/c_310_420/img/8b/3b/8b3b6371a88786a39562d87473a5f563.jpg,https://www.allocine.fr/film/fichefilm-316107/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-316107/similaire/
La Fabrique du mensonge,Führer und Verführer,19 février 2025,2h 04min,"Biopic,Drame,Historique","Allemagne,Slovaquie","3,6",365,54,Joachim Lang,"Robert Stadlober,Fritz Karl,Franziska Weisz,Dominik Maringer,Moritz Führmann,Till Firit,Christoph Franken,Michael Glantschnig,Katia Fellin,Oliver Fleischer,Emanuel Fellmer,Helene Blechinger",Michael Klaukien,"A l’aube de la Seconde Guerre mondiale, Joseph Goebbels est devenu l’éminence grise d'Hitler. Convaincu que la domination du Reich passe par des méthodes de manipulation radicaleme",https://fr.web.img2.acsta.net/c_310_420/img/e4/0f/e40f69d322e69177488af33002db9a83.png,https://www.allocine.fr/film/fichefilm-323185/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-323185/similaire/
Avec ou sans enfants ?,Avec ou sans enfants ?,19 février 2025,1h 26min,Comédie,"France,Belgique","2,7",270,65,Elsa Blayau,"Bertrand Usclat,Rayane Bensetti,Tiphaine Daviot,Joséphine Draï,Adèle Galloy,Julien Pestel,Nadia Roz,Syrus Shahidi",Alexis Rault,"Quand Pio et Anaïs annoncent leur mariage à leurs amis, c’est clair : ce sera SANS enfants. Trois jours de fête et de Prosecco en perspective ! Mais quand leur bande de potes débar",https://fr.web.img4.acsta.net/c_310_420/img/d5/75/d575de80bd018c40b94bd5221ea5b71b.jpg,https://www.allocine.fr/film/fichefilm-1000008845/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-1000008845/similaire/
Young Hearts,Young Hearts,19 février 2025,1h 37min,Drame,"Belgique,Pays-Bas","4,2",306,81,Anthony Schatteman,"Lou Goossens,Marius De Saeger,Geert Van Rampelberg,Emilie De Roo,Dirk van Dijck,Saar Rogiers,Ezra Van Dongen,Jul Goossens,Wim Opbrouck,Florence Hebbelynck",Ruben De Gheselle,"Elias, 14 ans, vit dans un petit village de Flandre. Lorsque Alexander, son nouveau voisin du même âge venant de Bruxelles, emménage en face de chez lui, Elias réalise qu’il est en",https://fr.web.img5.acsta.net/c_310_420/img/eb/fc/ebfc1e74ee0d37f041cf6daeafb1b7b0.jpg,https://www.allocine.fr/film/fichefilm-325126/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-325126/similaire/
When the Light Breaks,Ljosbrot,19 février 2025,1h 20min,Drame,"Islande,Pays-Bas,Croatie,France","3,2",228,37,Rúnar Rúnarsson,"Elín Hall,Mikael Kaaber,Katla Njálsdóttir,Baldur Einarsson,Gunnar Hrafn Kristjánsson,Ágúst Örn B. Wigum",,"Le jour se lève sur une longue journée d’été en Islande. D’un coucher de soleil à l’autre, Una une jeune étudiante en art, rencontre l’amour, l’amitié, le chagrin et la beauté.",https://fr.web.img3.acsta.net/c_310_420/img/a5/24/a52455d6bcecae5b68caf31d51c07127.jpg,https://www.allocine.fr/film/fichefilm-325708/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-325708/similaire/
September & July,September Says,19 février 2025,1h 40min,Drame,"Allemagne,Irlande,Grande-Bretagne","3,2",107,20,Ariane Labed,"Mia Tharia,Pascale Kann,Rakhee Thakrar,Niamh Moriarty,Barry John Kinsella,Shane Connellan,Rachel Benaissa,Emmanuel Okoye",Johnnie Burn,"July fait face à la cruauté du lycée grâce à la protection de sa sœur aînée September. Sheela, leur mère, s’inquiète lorsque September est renvoyée et July en profite pour affirmer",https://fr.web.img6.acsta.net/c_310_420/img/6e/15/6e15f23ef2b1c085e494afa0dbdf35b5.jpg,https://www.allocine.fr/film/fichefilm-317784/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-317784/similaire/
Quatre nuits d'un rêveur,Quatre nuits d'un rêveur,2 février 1972,1h 23min,"Drame,Romance","France,Italie","3,4",154,15,Robert Bresson,"Isabelle Weingarten,Guillaume des Forets,J.M. Monnoyer,Lidia Biondi,Jérôme Massart,Patrick Jouané","F.R. David,Louis Guitar,Chris Hayward (IV),Michel Magne","Une nuit, à Paris, Jacques sauve Marthe d’un saut tragique du Pont-Neuf. Alors qu’ils se livrent l’un à l’autre, ils décident de se revoir. Durant quatre soirées, Jacques réalise q",https://fr.web.img3.acsta.net/c_310_420/img/c5/7b/c57bc7bf87e45648d421d860f1df445f.jpg,https://www.allocine.fr/film/fichefilm-1251/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-1251/similaire/
